#COSMOS zeropoints 

U	  25.2331	
B	  31.4	
V	  31.4	
G	  26.3749 
R	  25.9263	
Rp	  31.4	
I	  25.7025	
Ip	  31.7343 
Z	  24.7678	
Zp	  31.4	
K	  23.85	
IA427	  31.4
IA464	  31.4
IA484	  31.4
IA505	  31.4
IA527 	  31.4
IA574	  31.4
IA624	  31.4
IA679	  31.4	
IA709	  31.4
IA738	  31.4
IA767	  31.4
IA827	  31.4
Ks2 	  31.4
NB118     24.655
Hs 	  26.623
J1 	  26.352
J2 	  26.571     
J3 	  26.578     
Ks 	  26.936     
Hl 	  26.601     
NB209     24.855
F606W	  26.491 
F814W	  25.943
F125W	  26.247
F140W	  26.465
F160W	  25.956
UVISTA_J  30.000
UVISTA_H  30.000
UVISTA_Ks 30.000
UVISTA_Y  30.000
Kstot	  25.0
